id,name,lon,lat,metodo,osm_name,population
Valldemossa,Valldemossa,2.6230264,39.7108465,nucleo OSM (nombre coincide),Valldemossa,1540
Vilafranca de Bonany,Vilafranca de Bonany,3.0889977,39.5703083,nucleo OSM (nombre coincide),Vilafranca de Bonany,3687
Búger,Búger,2.9856092,39.759085,nucleo OSM (nombre coincide),Búger,867
Campanet,Campanet,2.9651254,39.7750599,nucleo OSM (nombre coincide),Campanet,2376
Campos,Campos,3.0197912,39.4313098,nucleo OSM (nombre coincide),Campos,9604
Capdepera,Capdepera,3.4321679,39.7023418,nucleo OSM (nombre coincide),Capdepera,3424
Consell,Consell,2.8134417,39.6685608,nucleo OSM (nombre coincide),Consell,3832
Costitx,Costitx,2.9496833,39.6575923,nucleo OSM (nombre coincide),Costitx,866
Deià,Deià,2.6483432,39.7477362,nucleo OSM (nombre coincide),Deià,546
Escorca,Escorca,2.8844056,39.8224068,nucleo OSM (mas poblado del municipio),Lluc,35
Alaró,Alaró,2.7907216,39.7061528,nucleo OSM (nombre coincide),Alaró,5221
Alcúdia,Alcúdia,3.1212505,39.8532473,nucleo OSM (nombre coincide),Alcúdia,7489
Algaida,Algaida,2.8943429,39.5589416,nucleo OSM (nombre coincide),Algaida,3315
Andratx,Andratx,2.4202061,39.5745956,nucleo OSM (nombre coincide),Andratx,7863
Artà,Artà,3.3506343,39.6950088,nucleo OSM (nombre coincide),Artà,6569
Banyalbufar,Banyalbufar,2.5147715,39.6874544,nucleo OSM (nombre coincide),Banyalbufar,405
Binissalem,Binissalem,2.8420532,39.6889279,nucleo OSM (nombre coincide),Binissalem,7462
Bunyola,Bunyola,2.6989574,39.6961887,nucleo OSM (nombre coincide),Bunyola,2652
Calvià,Calvià,2.5046323,39.5650931,nucleo OSM (nombre coincide),Calvià,2440
Esporles,Esporles,2.5775624,39.6692405,nucleo OSM (nombre coincide),Esporles,4143
Estellencs,Estellencs,2.4810336,39.6535102,nucleo OSM (nombre coincide),Estellencs,258
Felanitx,Felanitx,3.1476769,39.4731713,nucleo OSM (nombre coincide),Felanitx,10368
Inca,Inca,2.9111493,39.7211448,nucleo OSM (nombre coincide),Inca,32999
Fornalutx,Fornalutx,2.7410901,39.782612,nucleo OSM (nombre coincide),Fornalutx,524
Lloret de Vistalegre,Lloret de Vistalegre,2.9751725,39.61793,nucleo OSM (nombre coincide),Lloret de Vistalegre,1009
Lloseta,Lloseta,2.8665761,39.7182833,nucleo OSM (nombre coincide),Lloseta,5674
Llubí,Llubí,3.0042475,39.7003358,nucleo OSM (nombre coincide),Llubí,2171
Llucmajor,Llucmajor,2.8913179,39.490845,nucleo OSM (nombre coincide),Llucmajor,11771
Manacor,Manacor,3.2106461,39.5696458,nucleo OSM (nombre coincide),Manacor,30459
Mancor de la Vall,Mancor de la Vall,2.8709873,39.7501386,nucleo OSM (nombre coincide),Mancor de la Vall,1507
Maria de la Salut,Maria de la Salut,3.0752319,39.6661106,nucleo OSM (nombre coincide),Maria de la Salut,2288
Marratxí,Marratxí,2.7359332,39.6268438,nucleo OSM (nombre coincide),Marratxí,0
Montuïri,Montuïri,2.9813248,39.5672471,nucleo OSM (nombre coincide),Montuïri,2509
Muro,Muro,3.0567069,39.7370637,nucleo OSM (nombre coincide),Muro,6915
Palma,Palma,2.6500745,39.5695818,nucleo OSM (nombre coincide),Palma,329532
Porreres,Porreres,3.0227517,39.5168891,nucleo OSM (nombre coincide),Porreres,5108
Petra,Petra,3.1128071,39.6134574,nucleo OSM (nombre coincide),Petra,2833
Pollença,Pollença,3.0157098,39.8792073,nucleo OSM (nombre coincide),Pollença,7696
Sa Pobla,Sa Pobla,3.0246803,39.7697409,nucleo OSM (nombre coincide),Sa Pobla,14191
Santa María del Camí,Santa María del Camí,2.7779083,39.6479453,nucleo OSM (nombre coincide),Santa Maria del Camí,6141
Santanyí,Santanyí,3.1294799,39.3543115,nucleo OSM (nombre coincide),Santanyí,3409
Puigpunyent,Puigpunyent,2.528306,39.6273152,nucleo OSM (nombre coincide),Puigpunyent,1614
Selva,Selva,2.9007178,39.7544816,nucleo OSM (nombre coincide),Selva,1766
ses Salines,ses Salines,3.054137,39.3391978,nucleo OSM (nombre coincide),ses Salines,1811
Sencelles,Sencelles,2.8977427,39.6475972,nucleo OSM (nombre coincide),Sencelles,1553
Sineu,Sineu,3.0116111,39.64314,nucleo OSM (nombre coincide),Sineu,3812
Sóller,Sóller,2.7150538,39.7663047,nucleo OSM (nombre coincide),Sóller,7921
Sant Joan,Sant Joan,3.0379931,39.5971435,nucleo OSM (nombre coincide),Sant Joan,1917
Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,3.285451,39.6106866,nucleo OSM (nombre coincide),Sant Llorenç des Cardassar,3033
Santa Eugènia,Santa Eugènia,2.8365544,39.6227068,nucleo OSM (nombre coincide),Santa Eugènia,1142
Santa Margalida,Santa Margalida,3.1026602,39.7033676,nucleo OSM (nombre coincide),Santa Margalida,4018
Son Servera,Son Servera,3.3605983,39.6222728,nucleo OSM (nombre coincide),Son Servera,4919
Ariany,Ariany,3.1115282,39.6507976,nucleo OSM (nombre coincide),Ariany,887
